Gene Name,Annotation,Accession #,Class Name,20160504_bath study 18hpf plate 2 13-24_ 13_01.RCC,20160504_bath study 18hpf plate 2 13-24_ 14_02.RCC,20160504_bath study 18hpf plate 2 13-24_ 15_03.RCC,20160504_bath study 18hpf plate 2 13-24_ 16_04.RCC,20160504_bath study 18hpf plate 2 13-24_ 17_05.RCC,20160504_bath study 18hpf plate 2 13-24_ 18_06.RCC,20160504_bath study 18hpf plate 2 13-24_ 19_07.RCC,20160504_bath study 18hpf plate 2 13-24_ 20_08.RCC,20160504_bath study 18hpf plate 2 13-24_ 21_09.RCC,20160504_bath study 18hpf plate 2 13-24_ 22_10.RCC,20160504_bath study 18hpf plate 2 13-24_ 23_11.RCC,20160504_bath study 18hpf plate 2 13-24_24_12.RCC,20160504_bath study 18hpf plate2_ 10 _10.RCC,20160504_bath study 18hpf plate2_ 11_11.RCC,20160504_bath study 18hpf plate2_ 12_12.RCC,20160504_bath study 18hpf plate2_ 1_01.RCC,20160504_bath study 18hpf plate2_ 2_02.RCC,20160504_bath study 18hpf plate2_ 3_03.RCC,20160504_bath study 18hpf plate2_ 4_04.RCC,20160504_bath study 18hpf plate2_ 5_05.RCC,20160504_bath study 18hpf plate2_ 6_06.RCC,20160504_bath study 18hpf plate2_ 7_07.RCC,20160504_bath study 18hpf plate2_ 8_08.RCC,20160504_bath study 18hpf plate2_ 9_09.RCC,20160510_bath study 18hpf plate 2 25-36_ 30_06.RCC,20160510_bath study 18hpf plate 2 25-36_ 31_07.RCC,20160510_bath study 18hpf plate 2 25-36_ 32_08.RCC,20160510_bath study 18hpf plate 2 25-36_ 33_09.RCC,20160510_bath study 18hpf plate 2 25-36_ 34 10.RCC,20160510_bath study 18hpf plate 2 25-36_ 35_11.RCC,20160510_bath study 18hpf plate 2 25-36_25_01.RCC,20160510_bath study 18hpf plate 2 25-36_26_02.RCC,20160510_bath study 18hpf plate 2 25-36_27_03.RCC,20160510_bath study 18hpf plate 2 25-36_28_04.RCC,20160510_bath study 18hpf plate 2 25-36_29_05.RCC,20160510_bath study 18hpf plate 2 25-36_36_12.RCC,20160513_bath study 18hpf plate 2 37-48_ 42_06.RCC,20160513_bath study 18hpf plate 2 37-48_37_01.RCC,20160513_bath study 18hpf plate 2 37-48_38_02.RCC,20160513_bath study 18hpf plate 2 37-48_39_03.RCC,20160513_bath study 18hpf plate 2 37-48_40_04.RCC,20160513_bath study 18hpf plate 2 37-48_41_05.RCC,20160513_bath study 18hpf plate 2 37-48_43_07.RCC,20160513_bath study 18hpf plate 2 37-48_44_08.RCC,20160513_bath study 18hpf plate 2 37-48_45_09.RCC,20160513_bath study 18hpf plate 2 37-48_46_10.RCC,20160513_bath study 18hpf plate 2 37-48_47_11.RCC,20160513_bath study 18hpf plate 2 37-48_48_12.RCC
,,,,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Kanamycin Pos,,Sub_Kan.1,Endogenous,163885,273669,183569,282724,190746,205121,199216,200528,186951,165584,214452,306501,288909,189533,321195,233229,300642,341300,318423,284478,220916,264509,219120,258164,216259,309295,225708,195655,211549,285239,336391,198687,221783,323290,170552,266808,246628,181865,209000,163465,147180,341304,201307,226377,244343,192868,295842,367942
alx4b,,NM_001089357.1,Endogenous,31,63409,39628,78,29753,137,6268,72,44104,57,35,5707,12274,38144,65,59,54,26371,2138,33023,25062,92907,187,168,48,61,9507,30,46,7625,65,21645,16447,70,35,4242,133,20947,100,12590,67,98,67382,1750,19068,47,23655,79407
csf1r,,NM_131672.1,Endogenous,1,4,10,4,5,7,16,3,7,12,4,1,3,16,3,8,1,2,1,3,12,13,1,11,1,1,13,5,1,3,7,2,4,1,2,11,14,8,1,15,34,1,12,1,16,1,11,3
dpf3,,NM_001111169.1,Endogenous,1,6,18,8,19,17,35,11,14,22,4,1,15,30,11,17,1,3,5,4,10,19,1,9,1,1,24,5,5,1,12,1,8,1,4,14,28,19,2,38,58,1,16,1,27,1,17,10
ednrba,,NM_131197.1,Endogenous,3,3818,2852,54702,149,771,13,146,12852,22,4,73317,64925,52961,15,811,5,42653,8,30014,64426,38366,41,15502,2,1,9781,4,19,23,110,10,16,11,13650,184,81785,53677,136,15902,49701,22,63061,4,5,9033,56005,1517
ets1a,,NM_001017558.1,Endogenous,2792,17,20,3,31,23,14,27897,29,42,5,5,31,59763,35,27,16,5,10,15,10,25,16,6,17,8,15,13,3,8,19,5,14,8,22,30,19,17,12,33,54,23,22,9,19,1,34,40
fgfr3_v2,,NM_131606.1,Endogenous,5,17,20,11,19,16,7,10,25,15,4,16,34,82402,24,16,13,8,7,21,21,5207,13,12,9,9,9,13,7,12,25,5,16,7,20,24,15,32,10,30,84,23,20,5,25,1,25,30
foxd3,,NM_131290.1,Endogenous,1,17691,95444,4,27335,88264,95531,10,58870,103595,1388,1709,3687,73276,92898,38928,24,85,5,3735,102089,69080,44,103077,1,1,28,29625,25595,4,7,20481,52336,1,42725,33343,20,43400,633,140896,136277,1,3003,132,36547,2400,12,49
foxg1b,,NM_212914.1,Endogenous,47019,40012,88316,36,45,54299,11013,251,80623,85734,16,30,1215,6437,1133,24853,33175,2266,34,42,37,10428,34,29594,24,37,94116,38,30,36,45,31,42,23,13,38,166204,72007,144,34154,41782,29,102186,20088,189,17,54281,86
foxo1a,,NM_001077257.2,Endogenous,7,29,350,14489,23,38,24,11,63940,20,18,16,79,17011,20,2579,49,15,16,288,32,40,10,15,19,15,12,19,13,19,46,5,6741,11,19,311,25,29,21,183,559,42,27,16,24,5,541,47
foxo1b,,NM_001082857.1,Endogenous,38,6,4989,65,900,13,12555,28,20,1959,1,1,3366,11393,743,16846,3816,11,10,35,40,28,1,1468,1,1,16107,8803,3,1,28,63,16,1,4,158,45,7938,13,36530,9587,1,382,325,3645,7,67,29
foxp4,,NM_001199491.1,Endogenous,28,91,40,71,93,67,107,57,53,74,24,31,73,22004,25,45,31,95,26,60447,63,77,18,96,18,21,86,34,14,71,54,36,52,34,16,55,163,109,21,56914,87,38,126,39,101,17,55,135
gapdh,,NM_001115114.1,Endogenous,1,27,15,71,11,24,76,27,141,20,1,19,41,12641,11,14,51,10,46,10,27,26,8,18,1,1,1233,4,8,9,34,6,17,7,5,21,123,36,32,37,44,16,23,3,25,2,43,12
hbp1,,NM_001024431.1,Endogenous,35,86,75,90,73,77,74,55,98,74,51,67,59,106,55,95,72,87,61,82,69,95,53,74,51,70,224,51,49,84,86,47,85,73,30,86,140,91,71,82,84,92,140,85,124,52,145,131
her9,,NM_131873.1,Endogenous,37,926,26672,26741,52,6732,28922,25,25973,23992,24,40,50,27024,130,44218,31,35272,27120,48,25654,42873,25897,23876,29,35,11108,3269,26,31360,31,2173,29489,31,16,39934,75,23242,26922,29019,16285,40,42938,4577,18102,24,45845,89
hmx1,,NM_001113526.1,Endogenous,2,32524,10713,4,68590,8,142680,78542,72938,19719,1,3722,69746,60997,61,64053,2,6,126080,13158,9,62958,37,16,1,1,104066,9,1151,1,106654,16946,162,1,25,12,164389,42253,799,24,187693,1,128061,19,53393,70,120077,92523
hmx4,,NM_001045371.1,Endogenous,47,17570,12174,43,42019,54,100021,75929,65545,65509,29,3827,18402,52055,58,72980,27,99,107277,55,40,10207,20,50,25,41,37500,24,294,50,41,6424,38681,48,14,1893,132262,44279,82,74926,59991,31,75418,45,38050,1308,104902,76
id2a,,NM_201291.1,Endogenous,15,52110,51720,42139,59440,19860,70185,38259,53829,50876,10694,33,38021,54347,26,42868,33,29179,78081,31,79322,74356,74,108594,22,15,73654,29149,55302,32,30241,36541,88127,34,11,44806,149041,78084,4069,16460,37869,48,138430,54571,103789,27,2285,96605
impdh1b,,NM_001014369.2,Endogenous,154,65845,2219,42134,45322,55086,72037,35450,8243,51964,19,59,39059,91626,158,3369,30,52829,22,33837,1367,8053,28,37853,13,18,36624,1232,187,49707,50148,24767,16573,35,11,3227,159,39639,82,89182,61493,40,23430,3181,15705,709,2456,141
kita,,NM_131053.1,Endogenous,1,6528,70,27234,37654,24608,1867,28713,12892,7790,2,1,10844,64887,4,79796,8,31504,42247,3346,25551,70741,69,22233,1,1,4000,1525,1,5,26015,11,42242,1,71,24501,50,25452,33,28,330,1,14030,2,17543,1,74330,11644
ltk,,XM_005158786.2,Endogenous,3,272,36,29,31,397,1698,46,265,24,15,21,366,42,34,58,11,26,13,6,684,65,23,100,1,1,7782,9,18,290,6,18,16,7,5,341,53,175,42,574,254,23,44,9,30,6,1228,82
mbpa,,XM_002665557.1,Endogenous,2,552,19,19724,17907,25670,19029,6,15,9,1552,36887,76233,14118,8804,56812,9,11,2,2485,68619,52087,61,73,1,1,16460,9,32065,11967,3975,9,38928,6,3,10519,39,19,12,41,13963,17,32363,2,1977,52,7357,11
mc1r,,NM_180970.1,Endogenous,2,33,3868,7295,16846,52829,43,15,432,25,14,592,24412,35064,1192,39752,73422,50591,7,27304,21,101402,130,17,20,29,2686,18,10,15,69292,7,25,23,140,6624,31,51550,347,81785,118560,51,16408,109,75,180,650,73661
mitfa,,NM_130923.1,Endogenous,Na,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mlphb,,NM_001079679.1,Endogenous,1,6,8,6,10,4,19,9,5,10,1,1,17,15,1,6,1,3,5,3,7,10,1,4,1,1,9,3,1,1,14,4,9,1,2,3,15,7,1,14,52,1,9,1,8,1,14,3
mycl1a,,NM_212937.1,Endogenous,3,20,30,10,25,15,10,8,21,6,5,9,41,90253,29,20,14,16,3,13,12,24,5,9,5,7,13,10,1,6,20,1,12,6,17,30,17,32,10,29,52336,17,16,9,24,1,40,23
myo5aa,,XM_009293794.1,Endogenous,11,37,33,13,23,36,23,15,45,33,21,28,39,49,38,39,27,28,18,34,29,34,26,17,27,20,23,17,9,22,51,8,30,35,23,31,32,33,30,42,69,73,35,21,30,4,58,59
oca2,,XM_690715.7,Endogenous,1,1,9,5,10,3,13,9,3,6,1,1,15,14,3,8,1,2,2,4,4,4,1,7,1,1,7,4,1,3,13,3,6,1,2,5,15,17,2,12,41,1,14,1,13,1,17,7
otx2,,NM_131251.1,Endogenous,2,1140,66557,19634,76916,1947,10,6,17422,27,5,13459,175671,44578,129065,91,23,9,52,13,66665,32871,21,31,6,9,403,12,3,6,17,14,35073,11,57380,93599,20,57548,247,49,146780,15,27077,22788,51740,218,105920,32
pax3_v2,,XM_005163543.2,Endogenous,8,33,24,10,21,53,20,9,31,19,17,23,51,16667,35,36,36,32,6,23,23,43,14,8,18,19,41,17,4,18,46,6,14,18,19,27,28,43,24,61,108,34,32,7,20,3,34,58
pax7a,,NM_131326.1,Endogenous,313,23,15,16,12,11,19,7572,18,14,1,20,29,26624,8,17,3,12,7,10,40,21,13,12,1,1,4,3,8,10,2,2,14,13,3,19,20,22,29,32,33,22,27,2,3,1,37,15
pax7b,,NM_001146149.1,Endogenous,14368,108,50873,68116,42673,61622,55820,55704,48589,33,1,26,70473,40410,60055,90373,6363,275,4,10,65213,73424,105,2525,2,1,59093,14219,38017,44031,68469,33,27973,10,11,2062,68,24562,146,40517,60580,23,61595,14852,259,2,52,13836
phox2b,,NM_001014818.1,Endogenous,8104,83,834,54,34108,2927,431,138,2723,1131,39,6807,54077,32715,24,25291,33,26777,33,71,55337,69778,98,54589,20,33,61249,33056,29,73,165,34,48,32,13,58601,111662,40756,128,159,1539,49,89801,23633,70105,25,56,99755
pnp4a,,NM_001002102.1,Endogenous,19,43,41,31,40,34,44,31,47,37,19,29,25,49,27,34,17,45,26,35,32,40,22,51,26,37,47,22,27,27,37,27,36,26,18,47,95,53,22,46,45,32,102,40,40,22,60,56
rpl13,,NM_198143.1,Endogenous,5,198738,118115,27,53652,60651,80888,34776,113837,121845,1,23,144984,140122,56879,88932,60183,99723,139549,6196,134658,115237,156797,143553,5,1,34636,45337,82616,60945,12373,61720,43508,94346,2056,139067,153108,103841,193565,197736,110380,113393,43053,8854,31592,4668,189821,114385
silva,,NM_001045330.1,Endogenous,1,4,1,5,11,1,14,9,6,5,1,2,10,260,1,9,1,2,1,1,5,7,1,8,1,1,9,2,1,1,7,9,6,1,1,8,12,7,3,9,35,1,7,1,12,1,16,10
slc24a5,,NM_001030280.1,Endogenous,1,21,14,7,44,5,84,45,38,19,2,1,39,57,3,34,1,2,34,6,6,26,1,8,2,1,66,2,1,1,64,15,5,1,3,11,103,42,4,20,146,1,86,1,46,1,88,55
smad9,,NM_001004014.1,Endogenous,1,47,28,27,24,23,21,13,28,24,1,28,43,45,12,15,13,28,10,18,58,35,19,22,2,1,22,7,21,21,11,8183,17,11,5,27,69,40,26,53,55,24,55,3,5,6,40,31
snail2,,XR_661767.1,Endogenous,9,12,5616,10,48411,46,1224,9,58739,50206,495,11,608,42638,37439,61463,21,673,6,25563,487,21,15,9,13,11,6,26432,61,15,28,1541,12,6,21834,21,24,23889,41,36814,13353,21,17705,20,1588,1,183,53968
sox10,,NM_131875.1,Endogenous,596,4,10260,23160,13385,7153,15714,11974,17344,20683,18952,3,14,27580,8,25971,2,11,2,20098,177,15,1,11,1,2,26,6,211,4,9,3031,10772,3,9,360,45873,10,4,56241,30919,1,1411,674,13644,2,5826,10
sox5,,NM_001033585.1,Endogenous,12,51,47,34,40,49,46,31,56,43,19,43,34,45,28,46,28,46,28,34,40,42,28,42,23,25,59,21,40,39,32,37,55,21,19,47,118,70,35,54,45,47,90,41,71,27,52,58
sox9b,,NM_131644.1,Endogenous,1,116,9,39616,49967,9,22743,43193,4190,9,5,3,104097,52058,7,22095,190,2,10,1,13,1026,6,16,1,5,2384,7,3,2,67709,33397,2,1,4274,11,39,5525,8,24,178248,5,994,5407,190,1,23,14
tfap2a,,NM_176859.2,Endogenous,7,57827,15257,15,11250,62976,40268,23,23990,41420,15154,16442,49695,52841,29,70292,37,34,804,106,32823,16572,31,22,28,21,8325,37659,138,22,45385,11,424,19,12842,36,47,88,35,61191,27044,74,25241,1527,28758,406,9750,1028
tfap2e,,NM_200821.1,Endogenous,516,26,16,20,41739,17,178,5,69,12127,1,128,11187,28406,7,37839,7,22,8,8,1062,848,12,4242,1,1,7510,5,15,10,6,6,13,9,5,6029,36,36908,82,24322,37658,19,61,18,1551,1,35,21
tfec,,NM_001030105.2,Endogenous,1,2732,2964,1726,15,414,7801,13,18,22,109,15,11,71503,6,16,490,41240,5,1529,19474,23783,11,28,1,1,78297,33,6,16708,10,64,10,1,43,26972,27,7114,8005,1578,13981,1,15336,1,39593,1,3288,26606
tyr,,NM_131013.1,Endogenous,633,4565,4548,393,6608,7,24469,28794,17,28244,1,1,32715,25010,43,20,3,6,17,6,8,101,1,4,1,1,36457,31654,1,4841,19,25,4,1,1,37421,62000,3787,58,22,42760,1,1849,1,3604,1,30736,13148
tyrp1b,,NM_001002749.1,Endogenous,1,48,26,31,22,30,24,12,38,17,1,29,56,51,27,26,9,22,9,18,75,34,26,26,1,1,19,14,31,24,6,22,16,20,5,12,64,43,40,53,61,27,59,4,10,5,63,40
NEG_A,,ERCC_00096.1,Negative,3,15,11,7,11,9,18,20,14,22,3,7,13,20,5,9,7,11,7,11,5,7,6,16,9,6,13,4,11,16,17,17,11,6,10,13,40,22,12,29,16,8,24,10,27,4,24,16
NEG_B,,ERCC_00041.1,Negative,3,9,5,8,4,5,5,5,9,6,1,2,13,16,1,7,1,6,1,1,8,3,2,2,1,5,5,3,8,5,4,4,7,6,3,7,14,7,12,7,8,5,6,5,6,2,7,7
NEG_C,,ERCC_00019.1,Negative,2,2,1,2,3,2,3,4,1,2,1,1,3,3,3,2,1,3,1,1,3,2,1,2,1,1,5,4,2,1,4,3,2,2,1,1,2,1,1,4,9,1,3,1,3,1,2,1
NEG_D,,ERCC_00076.1,Negative,1,2,3,2,3,4,9,4,4,6,4,1,1,32,5,6,3,1,1,1,6,8,1,5,3,1,4,2,1,1,8,1,6,1,4,5,7,4,1,17,15,1,3,2,4,1,4,1
NEG_E,,ERCC_00098.1,Negative,9,17,9,6,9,14,8,12,14,12,7,11,11,19,10,7,11,11,7,9,11,8,5,15,8,11,14,4,4,11,12,11,12,13,5,11,40,16,11,12,11,10,19,19,16,8,15,20
NEG_F,,ERCC_00126.1,Negative,1,22,25,9,10,15,16,8,26,21,3,16,35,35,15,16,8,16,9,7,23,21,15,13,2,2,9,8,24,17,13,18,13,15,5,20,45,45,36,40,40,24,29,6,16,10,46,17
NEG_G,,ERCC_00144.1,Negative,1,6,6,1,4,3,4,1,7,2,5,4,6,11,8,4,3,3,1,4,2,3,4,4,2,4,5,3,4,2,5,1,6,2,4,8,10,2,5,4,9,11,5,1,6,1,11,7
NEG_H,,ERCC_00154.1,Negative,51,63,43,23,22,53,46,51,56,36,6,6,37,46,69,40,52,62,54,54,38,46,34,44,40,9,4,52,35,39,12,60,63,61,44,50,72,47,71,66,53,56,99,86,85,65,54,80
POS_A,,ERCC_00117.1,Positive,27017,25070,21766,27328,17515,20178,20722,23725,17762,20597,23743,32167,22407,9789,27493,20682,24903,29801,25356,21378,20202,23531,26622,21597,41355,36981,26882,28568,41637,33046,43898,42568,37780,38371,35780,30219,34994,32833,35372,37073,28206,45028,35557,44971,32485,38613,33225,35741
POS_B,,ERCC_00112.1,Positive,7522,7136,5953,7916,4895,5693,5857,6613,5010,5930,6778,8946,7296,3267,9049,6276,8053,9254,8107,6628,6205,7568,8522,6454,10131,9207,6583,6994,10240,8043,10713,10886,9354,9598,8852,7406,9763,9065,9901,10395,7937,12416,9853,12656,9061,10873,9540,9872
POS_C,,ERCC_00002.1,Positive,2315,2085,1763,2299,1508,1679,1707,1992,1491,1821,1965,2583,2154,991,2636,1803,2271,2756,2293,2011,1967,2180,2487,1883,2831,2579,1798,1993,2731,2197,2981,2875,2535,2593,2430,2095,2862,2575,2851,3021,2258,3504,2821,3799,2550,3239,2786,2898
POS_D,,ERCC_00092.1,Positive,511,472,402,501,353,370,392,448,349,396,460,608,465,238,570,425,508,551,514,437,466,494,554,422,691,631,460,474,627,551,712,667,602,638,569,526,632,597,630,677,517,818,648,854,606,699,629,667
POS_E,,ERCC_00035.1,Positive,73,76,56,84,51,58,70,71,51,71,62,98,96,31,81,61,76,78,65,57,55,78,78,58,129,103,86,81,125,79,129,132,115,118,97,83,87,88,116,133,99,111,112,128,97,111,101,92
POS_F,,ERCC_00034.1,Positive,30,45,29,39,29,35,36,29,33,28,42,39,35,21,35,40,32,49,29,38,21,38,41,40,53,50,40,27,49,26,47,40,50,53,50,40,57,52,43,48,43,64,53,59,47,49,43,46
